split_seed,method,num_queries,mrr,recall@1,recall@3,recall@5,train_fraction
139,ablation_intrinsic_only,736,0.6765980275427412,0.5692934782608695,0.7622282608695652,0.8084239130434783,0.6
139,ablation_full,736,0.6686647973708707,0.5665760869565217,0.7364130434782609,0.7934782608695652,0.6
149,type_aware,736,0.6136365020836133,0.5067934782608695,0.6807065217391305,0.7418478260869565,0.6
149,ablation_intrinsic_only,736,0.6760232795534695,0.5788043478260869,0.7418478260869565,0.7961956521739131,0.6
149,ablation_full,736,0.6602516173492868,0.5584239130434783,0.7255434782608695,0.7839673913043478,0.6
101,type_aware,552,0.6051383184297048,0.5072463768115942,0.6557971014492754,0.7192028985507246,0.7
101,ablation_intrinsic_only,552,0.6600953565049325,0.5543478260869565,0.7336956521739131,0.7952898550724637,0.7
101,ablation_full,552,0.6524206746712302,0.552536231884058,0.7155797101449275,0.782608695652174,0.7
103,type_aware,552,0.6253561526874405,0.5307971014492754,0.6739130434782609,0.7336956521739131,0.7
103,ablation_intrinsic_only,552,0.680467769942646,0.5887681159420289,0.7427536231884058,0.7971014492753623,0.7
103,ablation_full,552,0.6820080211893819,0.5960144927536232,0.7355072463768116,0.782608695652174,0.7
107,type_aware,552,0.5976799262795851,0.4927536231884058,0.6612318840579711,0.7192028985507246,0.7
107,ablation_intrinsic_only,552,0.6602251998102816,0.5561594202898551,0.7391304347826086,0.7862318840579711,0.7
107,ablation_full,552,0.6506968269312149,0.5452898550724637,0.7282608695652174,0.7898550724637681,0.7
109,type_aware,552,0.6183186223208509,0.5144927536231884,0.677536231884058,0.7481884057971014,0.7
109,ablation_intrinsic_only,552,0.6929409242575825,0.5996376811594203,0.7608695652173914,0.8043478260869565,0.7
109,ablation_full,552,0.6894578294165999,0.5978260869565217,0.7445652173913043,0.7952898550724637,0.7
113,type_aware,552,0.6116264496285077,0.5036231884057971,0.677536231884058,0.7463768115942029,0.7
113,ablation_intrinsic_only,552,0.6667276551989894,0.5688405797101449,0.7318840579710145,0.7934782608695652,0.7
113,ablation_full,552,0.6624157885398871,0.5634057971014492,0.7373188405797102,0.7880434782608695,0.7
127,type_aware,552,0.6229172952284705,0.5235507246376812,0.6793478260869565,0.7427536231884058,0.7
127,ablation_intrinsic_only,552,0.6643112036658022,0.5543478260869565,0.7409420289855072,0.7989130434782609,0.7
127,ablation_full,552,0.6602448139553571,0.5561594202898551,0.7355072463768116,0.7880434782608695,0.7
131,type_aware,552,0.5884738042219477,0.483695652173913,0.6413043478260869,0.7137681159420289,0.7
131,ablation_intrinsic_only,552,0.6606556097583746,0.5634057971014492,0.7246376811594203,0.7880434782608695,0.7
131,ablation_full,552,0.6582166251229342,0.5543478260869565,0.7264492753623188,0.7898550724637681,0.7
137,type_aware,552,0.6274939846497007,0.532608695652174,0.677536231884058,0.7336956521739131,0.7
137,ablation_intrinsic_only,552,0.6756936585699692,0.5760869565217391,0.7554347826086957,0.7971014492753623,0.7
137,ablation_full,552,0.6894756358556998,0.6068840579710145,0.7373188405797102,0.7844202898550725,0.7
